('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         771816 function calls (747944 primitive calls) in 3.879 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       10    0.000    0.000    0.000    0.000 filter.py:224(__init__)
      845    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      195    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       61    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      537    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    77/47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      446    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
  213/150    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      661    0.000    0.000    0.000    0.000 {built-in method from_bytes}
    73/53    0.000    0.000    0.192    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      310    0.000    0.000    0.089    0.000 re.py:249(compile)
     15/8    0.000    0.000    0.001    0.000 inspect.py:2375(_signature_from_callable)
       26    0.000    0.000    0.016    0.001 <frozen zipimport>:64(__init__)
      393    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _eventloop.py:56(AsyncBackend)
      390    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      297    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       95    0.000    0.000    0.003    0.000 abc.py:105(__new__)
