('245,122,000.00', '198,270,000.00', '261,802,000.00', '211,915,000.00', '168,088,000.00')
         766505 function calls (742673 primitive calls) in 2.639 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      109    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      106    0.000    0.000    0.000    0.000 dataclasses.py:824(_set_new_attribute)
      105    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      100    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      100    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      100    0.000    0.000    0.004    0.000 typing.py:483(Union)
       98    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       98    0.000    0.000    0.000    0.000 dataclasses.py:645(_is_classvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:653(_is_initvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:659(_is_kw_only)
       98    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       95    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       95    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       95    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       91    0.000    0.000    0.000    0.000 enum.py:980(__or__)
       90    0.000    0.000    0.000    0.000 typing_extensions.py:2872(_check_generic)
       89    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
       89    0.000    0.000    0.005    0.000 dataclasses.py:412(_create_fn)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 re.py:269(escape)
       86    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       82    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       78    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
    77/47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
    77/47    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       76    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
       76    0.000    0.000    0.000    0.000 dataclasses.py:395(<genexpr>)
       76    0.000    0.000    0.000    0.000 dataclasses.py:1098(<genexpr>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
    73/53    0.000    0.000    0.187    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       72    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       69    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       68    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       67    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       67    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       64    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
